sp|Q6GZX4|001R_FRG3G	654924
sp|Q6GZX3|002L_FRG3G	654924
sp|Q197F8|002R_IIV3	345201
sp|Q197F7|003L_IIV3	345201
sp|Q6GZX2|003R_FRG3G	654924
sp|Q6GZX1|004R_FRG3G	654924
sp|Q197F5|005L_IIV3	345201
sp|Q6GZX0|005R_FRG3G	654924
sp|Q91G88|006L_IIV6	176652
sp|Q6GZW9|006R_FRG3G	654924
sp|Q6GZW8|007R_FRG3G	654924
sp|Q197F3|007R_IIV3	345201
sp|Q197F2|008L_IIV3	345201
sp|Q6GZW6|009L_FRG3G	654924
sp|Q91G85|009R_IIV6	176652
sp|Q6GZW5|010R_FRG3G	654924
sp|Q197E9|011L_IIV3	345201
sp|Q6GZW4|011R_FRG3G	654924
sp|Q6GZW3|012L_FRG3G	654924
sp|Q197E7|013L_IIV3	345201
sp|Q6GZW2|013R_FRG3G	654924
sp|Q6GZW1|014R_FRG3G	654924
sp|Q6GZW0|015R_FRG3G	654924
sp|Q6GZV8|017L_FRG3G	654924
sp|Q6GZV7|018L_FRG3G	654924
sp|Q6GZV6|019R_FRG3G	654924
sp|Q6GZV5|020R_FRG3G	654924
sp|Q6GZV4|021L_FRG3G	654924
sp|Q197D8|022L_IIV3	345201
sp|Q6GZV2|023R_FRG3G	654924
sp|Q197D7|023R_IIV3	345201
sp|Q6GZV1|024R_FRG3G	654924
sp|Q197D5|025R_IIV3	345201
sp|Q91G70|026R_IIV6	176652
sp|Q6GZU9|027R_FRG3G	654924
sp|Q6GZU8|028R_FRG3G	654924
sp|Q197D2|028R_IIV3	345201
sp|Q6GZU7|029L_FRG3G	654924
sp|Q91G67|029R_IIV6	176652
sp|Q197D0|030L_IIV3	345201
sp|Q6GZU6|030R_FRG3G	654924
sp|Q6GZU5|031R_FRG3G	654924
sp|Q6GZU4|032R_FRG3G	654924
sp|Q197C8|032R_IIV3	345201
sp|Q91G65|032R_IIV6	176652
sp|Q6GZU3|033R_FRG3G	654924
sp|Q6GZU2|034R_FRG3G	654924
sp|Q91G63|034R_IIV6	176652
sp|Q6GZU1|035L_FRG3G	654924
sp|Q6GZU0|036L_FRG3G	654924
sp|Q197C3|037L_IIV3	345201
sp|Q6GZT9|037R_FRG3G	654924
sp|Q6GZT7|039R_FRG3G	654924
sp|Q6GZT6|040R_FRG3G	654924
sp|Q197C0|040R_IIV3	345201
sp|Q91G57|041L_IIV6	176652
sp|Q6GZT5|041R_FRG3G	654924
sp|Q6GZT4|042L_FRG3G	654924
sp|Q91G56|042R_IIV6	176652
sp|Q91G55|043L_IIV6	176652
sp|Q6GZT3|043R_FRG3G	654924
sp|Q197B6|044L_IIV3	345201
sp|Q6GZN9|044R_FRG3G	654924
sp|Q91G54|044R_IIV6	176652
sp|Q6GZT1|045L_FRG3G	654924
sp|Q197B5|045R_IIV3	345201
sp|Q6GZT0|046L_FRG3G	654924
sp|Q6GZS9|047L_FRG3G	654924
sp|Q6GZS8|048L_FRG3G	654924
sp|Q6GZS7|049L_FRG3G	654924
sp|Q91G50|049L_IIV6	176652
sp|Q197B1|049R_IIV3	345201
sp|Q6GZS6|050L_FRG3G	654924
sp|Q6GZS5|051R_FRG3G	654924
sp|Q6GZS4|052L_FRG3G	654924
sp|Q197A7|053L_IIV3	345201
sp|Q6GZS3|053R_FRG3G	654924
sp|Q6GZS2|054L_FRG3G	654924
sp|Q197A6|054L_IIV3	345201
sp|Q6GZS1|055L_FRG3G	654924
sp|Q67475|055R_FRG3G	654924
sp|Q6GZR9|056R_FRG3G	654924
sp|O55703|056R_IIV6	176652
sp|Q197A3|057L_IIV3	345201
sp|Q6GZR8|057R_FRG3G	654924
sp|Q6GZR7|058R_FRG3G	654924
sp|Q6GZR6|059L_FRG3G	654924
sp|O55704|060L_IIV6	176652
sp|Q6GZR4|061L_FRG3G	654924
sp|O55705|061R_IIV6	176652
sp|Q196Z8|062L_IIV3	345201
sp|O55706|062L_IIV6	176652
sp|Q196Z6|064L_IIV3	345201
sp|Q6GZR1|064R_FRG3G	654924
sp|Q6GZR0|065L_FRG3G	654924
sp|Q91G40|065R_IIV6	176652
sp|Q6GZQ9|066L_FRG3G	654924
sp|Q6GZQ7|068R_FRG3G	654924
sp|O55709|069L_IIV6	176652
sp|Q6GZQ6|069R_FRG3G	654924
sp|Q6GZQ5|070R_FRG3G	654924
sp|O55710|071L_IIV6	176652
sp|Q6GZQ4|071R_FRG3G	654924
sp|Q6GZQ3|072L_FRG3G	654924
sp|Q196Y8|072L_IIV3	345201
sp|Q6GZQ2|073L_FRG3G	654924
sp|Q196Y7|073R_IIV3	345201
sp|Q6GZQ1|074L_FRG3G	654924
sp|Q6GZQ0|075L_FRG3G	654924
sp|Q196Y5|075R_IIV3	345201
sp|Q6GZP9|076R_FRG3G	654924
sp|Q6GZP8|077L_FRG3G	654924
sp|Q196Y3|077R_IIV3	345201
sp|Q6GZP7|078L_FRG3G	654924
sp|Q6GZP6|079R_FRG3G	654924
sp|Q196Y0|080R_IIV3	345201
sp|Q196X9|081L_IIV3	345201
sp|Q6GZP4|081R_FRG3G	654924
sp|Q196X8|082L_IIV3	345201
sp|O55713|082L_IIV6	176652
sp|O55714|083L_IIV6	176652
sp|O55715|084L_IIV6	176652
sp|Q6GZP1|084R_FRG3G	654924
sp|Q6GZT2|086L_FRG3G	654924
sp|Q6GZN8|087L_FRG3G	654924
sp|Q6GZN7|088R_FRG3G	654924
sp|Q196X1|089L_IIV3	345201
sp|Q6GZN6|089R_FRG3G	654924
sp|Q6GZN3|092R_FRG3G	654924
sp|Q196W8|092R_IIV3	345201
sp|Q6GZN2|093L_FRG3G	654924
sp|Q6GZN1|094L_FRG3G	654924
sp|O55717|094L_IIV6	176652
sp|Q196W5|095L_IIV3	345201
sp|O55718|095L_IIV6	176652
sp|Q6GZN0|095R_FRG3G	654924
sp|O55719|096L_IIV6	176652
sp|Q6GZM9|096R_FRG3G	654924
sp|Q6GZM8|097R_FRG3G	654924
sp|Q6GZM7|098R_FRG3G	654924
sp|P0C9F0|1001R_ASFK5	561445
sp|P0C9F1|1001R_ASFM2	10500
sp|P0C9F2|1001R_ASFP4	561443
sp|P0C9E9|1001R_ASFWA	561444
sp|Q65209|1002L_ASFB7	10498
sp|P0C9F4|1002L_ASFK5	561445
