accession	accession.version	taxid	gi
GCA007129655	GCA007129655.1	2022	
GCF000979455	GCF000979455.1	669	
GCA007280465	GCA007280465.1	3546	
GCF000025865	GCF000025865.1	4262	
GCA004525545	GCA004525545.1	3017	
GCA007118145	GCA007118145.1	2546	
GCA003649715	GCA003649715.1	4302	
GCA003023565	GCA003023565.1	4059	
GCA000258425	GCA000258425.1	2407	
GCA000746685	GCA000746685.1	4933	
GCA000494145	GCA000494145.1	2530	
GCA003661965	GCA003661965.1	4656	
GCF000017165	GCF000017165.1	3086	
GCA002899805	GCA002899805.1	3225	
GCA007121575	GCA007121575.1	4308	
GCA001593855	GCA001593855.1	5602	
GCA003649845	GCA003649845.1	3349	
GCA002498125	GCA002498125.1	3032	
GCA003019535	GCA003019535.1	775	
GCA002499585	GCA002499585.1	479	
GCF000725425	GCF000725425.1	4174	
GCA002505325	GCA002505325.1	3705	
GCA007122455	GCA007122455.1	2862	
GCF003382685	GCF003382685.1	4050	
GCF004765805	GCF004765805.1	4152	
GCA002708695	GCA002708695.1	5167	
GCF003670115	GCF003670115.1	2463	
GCF000306725	GCF000306725.1	2989	
GCA002494645	GCA002494645.1	3110	
GCA004376265	GCA004376265.1	5773	
GCA013331265	GCA013331265.1	4427	
GCA002498525	GCA002498525.1	1527	
GCA003662535	GCA003662535.1	5014	
GCA002506335	GCA002506335.1	3379	
GCA003694055	GCA003694055.1	3169	
GCA002725475	GCA002725475.1	3752	
GCA003550625	GCA003550625.1	3268	
GCA003663565	GCA003663565.1	4976	
GCF000746205	GCF000746205.1	5461	
GCA013330595	GCA013330595.1	1448	
GCA002687185	GCA002687185.1	5558	
GCF003947435	GCF003947435.1	1673	
GCF002945325	GCF002945325.1	743	
GCA002067685	GCA002067685.1	4759	
GCA001563805	GCA001563805.1	3497	
GCF000430485	GCF000430485.1	1516	
GCA003021755	GCA003021755.1	4355	
GCA007129135	GCA007129135.1	2568	
GCF001412615	GCF001412615.1	2820	
GCF000337695	GCF000337695.1	3595	
GCA002496355	GCA002496355.1	826	
GCA003601605	GCA003601605.1	2322	
GCA003660605	GCA003660605.1	3038	
GCA003661105	GCA003661105.1	3370	
GCA003602485	GCA003602485.1	3517	
GCA002507205	GCA002507205.1	4165	
GCA002255045	GCA002255045.1	5229	
GCF001548675	GCF001548675.1	3255	
GCA002256595	GCA002256595.1	2130	
GCF005954745	GCF005954745.1	1975	
GCA004195515	GCA004195515.1	5604	
GCF000011105	GCF000011105.1	2916	
GCA013330625	GCA013330625.1	1686	
GCA003021705	GCA003021705.1	4208	
GCF000969905	GCF000969905.1	2456	
GCA007036525	GCA007036525.1	4135	
GCA002507545	GCA002507545.1	1016	
GCF900115675	GCF900115675.1	5703	
GCA002503215	GCA002503215.1	919	
GCA002720095	GCA002720095.2	1313	
GCF001989615	GCF001989615.1	4990	
GCA003602515	GCA003602515.1	2994	
GCF003781945	GCF003781945.1	3062	
GCF002355635	GCF002355635.1	3756	
GCA001595785	GCA001595785.1	3737	
GCF003268005	GCF003268005.1	2966	
GCA001563995	GCA001563995.1	3280	
GCA013329215	GCA013329215.1	4565	
GCF001469865	GCF001469865.1	5045	
GCF001402945	GCF001402945.1	981	
GCF000337575	GCF000337575.1	3824	
GCA002689105	GCA002689105.1	2386	
GCF005406125	GCF005406125.1	3066	
GCA000270325	GCA000270325.1	4755	
GCA002254415	GCA002254415.1	3686	
GCF000337475	GCF000337475.1	4643	
GCA000299365	GCA000299365.1	2031	
GCA004297665	GCA004297665.1	5333	
GCF000499765	GCF000499765.1	5517	
GCA000011125	GCA000011125.1	2661	
GCF003841485	GCF003841485.1	4808	
GCF002153915	GCF002153915.1	4511	
GCF000337135	GCF000337135.1	5695	
GCF003589585	GCF003589585.1	5085	
GCA002730325	GCA002730325.1	3488	
GCF900196725	GCF900196725.1	3425	
GCA003021975	GCA003021975.1	4002	
GCA002495525	GCA002495525.1	1570	
GCF002214605	GCF002214605.1	2749	
GCF000196655	GCF000196655.1	4951	
GCF003990725	GCF003990725.1	5233	
GCA002502045	GCA002502045.1	1046	
GCF000371805	GCF000371805.1	2097	
GCF000193375	GCF000193375.1	3845	
GCA002688355	GCA002688355.1	4375	
GCA002501775	GCA002501775.1	1500	
GCA002505775	GCA002505775.1	1143	
GCA003560595	GCA003560595.1	3903	
GCA900313645	GCA900313645.1	4917	
GCA001871475	GCA001871475.1	2700	
GCF001304615	GCF001304615.1	4096	
GCA002687825	GCA002687825.1	5266	
GCF000024625	GCF000024625.1	4193	
GCA000220375	GCA000220375.1	5296	
GCA005240025	GCA005240025.1	4257	
GCF002214525	GCF002214525.1	3244	
GCA003661605	GCA003661605.1	4022	
GCA002497295	GCA002497295.1	4992	
GCA002839545	GCA002839545.1	3074	
GCA002509745	GCA002509745.1	2958	
GCA003230355	GCA003230355.1	5639	
GCF000698785	GCF000698785.1	5623	
GCA002067365	GCA002067365.1	5582	
GCA002010215	GCA002010215.1	3655	
GCA002688265	GCA002688265.1	3056	
GCA001563335	GCA001563335.1	5110	
GCA013331535	GCA013331535.1	4321	
GCA003139855	GCA003139855.1	292	
GCA003660865	GCA003660865.1	4492	
GCF002214565	GCF002214565.1	2190	
GCA003663325	GCA003663325.1	3390	
GCA001564115	GCA001564115.1	2450	
GCA002457555	GCA002457555.1	2413	
GCA002497895	GCA002497895.1	1454	
GCF000211475	GCF000211475.1	4593	
GCA003023485	GCA003023485.1	4089	
GCA002718995	GCA002718995.2	1504	
GCF002906575	GCF002906575.1	4161	
GCF003369835	GCF003369835.1	5794	
GCF001639275	GCF001639275.1	1561	
GCF000016125	GCF000016125.1	3643	
GCF000204925	GCF000204925.1	5004	
GCA002688035	GCA002688035.1	4575	
GCF000969965	GCF000969965.1	2526	
GCA003649225	GCA003649225.1	3513	
GCA003602605	GCA003602605.1	5173	
GCF000816105	GCF000816105.1	5567	
GCA002763025	GCA002763025.1	5271	
GCA002763085	GCA002763085.1	5125	
GCF000336935	GCF000336935.1	3321	
GCF001469875	GCF001469875.2	2237	
GCA002503395	GCA002503395.1	3822	
GCF000755245	GCF000755245.1	5259	
GCA003663535	GCA003663535.1	3005	
GCA000496235	GCA000496235.1	5578	
GCA003649615	GCA003649615.1	4899	
GCA002505495	GCA002505495.1	3939	
GCA003601535	GCA003601535.1	3574	
GCA003724325	GCA003724325.1	2284	
GCA002494565	GCA002494565.1	4722	
GCF000300255	GCF000300255.2	1831	
GCA005878325	GCA005878325.1	3870	
GCF001602375	GCF001602375.1	4241	
GCA002495645	GCA002495645.1	2494	
GCA000875775	GCA000875775.1	3532	
GCA001940805	GCA001940805.1	5065	
GCF001663375	GCF001663375.1	2908	
GCA003650545	GCA003650545.1	3650	
GCA002731195	GCA002731195.1	5781	
GCF001315945	GCF001315945.1	3890	
GCA003662485	GCA003662485.1	5459	
GCF000328665	GCF000328665.1	1592	
GCF003730195	GCF003730195.1	5686	
GCA001316005	GCA001316005.1	4633	
GCA000402355	GCA000402355.1	4313	
GCF900095295	GCF900095295.1	2640	
GCA004322465	GCA004322465.1	3763	
GCA002507085	GCA002507085.1	4237	
GCA001872185	GCA001872185.1	1491	
GCA002502365	GCA002502365.1	4010	
GCF003430805	GCF003430805.1	2142	
GCA002839605	GCA002839605.1	4299	
GCF000685155	GCF000685155.1	1926	
GCA013331125	GCA013331125.1	4480	
GCA002497345	GCA002497345.1	5368	
GCA002067065	GCA002067065.1	4061	
GCA007037525	GCA007037525.1	4278	
GCA004376295	GCA004376295.1	2309	
GCA002698885	GCA002698885.1	5309	
GCA003135575	GCA003135575.1	5323	
GCA002688965	GCA002688965.1	4015	
GCF000022385	GCF000022385.1	180	
GCF000092465	GCF000092465.1	5777	
GCA003551265	GCA003551265.1	3112	
GCF004099695	GCF004099695.1	4553	
GCA002508495	GCA002508495.1	4798	
GCA002010075	GCA002010075.1	5419	
GCA002727485	GCA002727485.1	5222	
GCA005878615	GCA005878615.1	2599	
GCA003491305	GCA003491305.1	3602	
GCF002214545	GCF002214545.1	1855	
GCA002501855	GCA002501855.1	737	
GCA003661825	GCA003661825.1	5478	
GCF001592435	GCF001592435.1	2276	
GCF001484685	GCF001484685.1	5712	
GCF001577775	GCF001577775.1	4876	
GCF002252985	GCF002252985.1	3515	
GCF900100385	GCF900100385.1	4695	
GCF000013445	GCF000013445.1	2224	
GCA003193925	GCA003193925.1	964	
GCA003693875	GCA003693875.1	5074	
GCF004916945	GCF004916945.1	1738	
GCA003021085	GCA003021085.1	3248	
GCF003602035	GCF003602035.1	5596	
GCA003554845	GCA003554845.1	4968	
GCA002763035	GCA002763035.1	2941	
GCF002078355	GCF002078355.1	4559	
GCA001627235	GCA001627235.1	1082	
GCA002726395	GCA002726395.1	2358	
GCA003194435	GCA003194435.1	3491	
GCA002825535	GCA002825535.1	3646	
GCA003022725	GCA003022725.1	4494	
GCA000806155	GCA000806155.1	2267	
GCF000745485	GCF000745485.1	2500	
GCA003194445	GCA003194445.1	2933	
GCF006861655	GCF006861655.1	5428	
GCF000739065	GCF000739065.1	4855	
GCA002687815	GCA002687815.1	5254	
GCA007036605	GCA007036605.1	4684	
GCA003569705	GCA003569705.1	5765	
GCA001412335	GCA001412335.1	4895	
GCA005879045	GCA005879045.1	3210	
GCA002686295	GCA002686295.1	3338	
GCA003601875	GCA003601875.1	4503	
GCF000711905	GCF000711905.1	1001	
GCF000970305	GCF000970305.1	3657	
GCA003661385	GCA003661385.1	1924	
GCA003649695	GCA003649695.1	4805	
GCF000264495	GCF000264495.1	2979	
GCF000017185	GCF000017185.1	4092	
GCA005878375	GCA005878375.1	5218	
GCA006954425	GCA006954425.1	3858	
GCA002503705	GCA002503705.1	3358	
GCA003023785	GCA003023785.1	4043	
GCA002499085	GCA002499085.1	2304	
GCA003602595	GCA003602595.1	3013	
GCA002507245	GCA002507245.1	4326	
GCA000746705	GCA000746705.1	5169	
GCA002504525	GCA002504525.1	505	
GCA002688395	GCA002688395.1	3176	
GCA003563585	GCA003563585.1	4770	
GCF003111625	GCF003111625.1	3775	
GCA002457605	GCA002457605.1	3236	
GCF000317795	GCF000317795.1	3410	
GCF000025625	GCF000025625.1	2105	
GCA002719615	GCA002719615.1	3472	
GCA004212075	GCA004212075.1	4817	
GCF000026045	GCF000026045.1	5243	
GCA005888675	GCA005888675.1	2997	
GCA003649665	GCA003649665.1	2027	
GCA000015805	GCA000015805.1	4437	
GCA003661905	GCA003661905.1	5563	
GCA002503825	GCA002503825.1	5060	
GCA003022905	GCA003022905.1	4810	
GCA003661505	GCA003661505.1	5547	
GCA002499405	GCA002499405.1	1065	
GCA002011085	GCA002011085.1	4129	
GCA001587715	GCA001587715.1	3556	
GCA001800675	GCA001800675.1	4931	
GCF000092185	GCF000092185.1	5409	
GCA003602415	GCA003602415.1	3929	
GCA002506025	GCA002506025.1	3131	
GCA001593865	GCA001593865.1	2850	
GCA002509165	GCA002509165.1	1838	
GCF000970285	GCF000970285.1	2675	
GCF000008665	GCF000008665.1	1092	
GCA002720275	GCA002720275.1	2768	
GCF000195915	GCF000195915.1	4104	
GCA003660965	GCA003660965.1	5248	
GCA000746785	GCA000746785.1	2006	
GCA013330975	GCA013330975.1	2633	
GCA002499195	GCA002499195.1	1041	
GCA003695045	GCA003695045.1	4859	
GCF000091665	GCF000091665.1	2084	
GCA003702525	GCA003702525.1	3114	
GCA900248165	GCA900248165.1	1779	
GCA001563305	GCA001563305.1	3554	
GCA002688165	GCA002688165.1	4624	
GCA003662305	GCA003662305.1	5396	
GCA002507425	GCA002507425.1	2829	
GCA005882905	GCA005882905.1	1746	
GCF000966265	GCF000966265.1	5348	
GCF000813245	GCF000813245.1	2620	
GCF000179575	GCF000179575.2	5423	
GCF006861665	GCF006861665.1	5824	
GCF000336615	GCF000336615.1	4941	
GCA005882955	GCA005882955.1	3021	
GCA003661015	GCA003661015.1	5140	
GCA005888635	GCA005888635.1	5749	
GCA002506275	GCA002506275.1	3414	
GCA002717835	GCA002717835.1	4744	
GCA001273335	GCA001273335.1	3615	
GCA003009755	GCA003009755.1	4253	
GCA002708015	GCA002708015.1	4171	
GCA002509095	GCA002509095.1	2824	
GCA001316105	GCA001316105.1	5667	
GCA004193545	GCA004193545.1	4211	
GCF000455365	GCF000455365.1	2969	
GCF000012545	GCF000012545.1	1398	
GCA003141335	GCA003141335.1	5473	
GCF000007225	GCF000007225.1	1187	
GCF900143675	GCF900143675.1	3968	
GCA003135935	GCA003135935.1	3581	
GCF002844195	GCF002844195.1	4349	
GCF900156475	GCF900156475.1	3519	
GCA001564275	GCA001564275.1	2112	
GCF000336955	GCF000336955.1	2609	
GCF002208625	GCF002208625.1	3311	
GCA003151535	GCA003151535.1	3892	
GCA000508305	GCA000508305.1	3242	
GCA002685415	GCA002685415.1	4522	
GCA003663225	GCA003663225.1	3540	
GCA003096255	GCA003096255.1	5398	
GCA002504435	GCA002504435.1	2429	
GCA003104905	GCA003104905.1	4577	
GCF000025525	GCF000025525.1	4410	
GCA003021235	GCA003021235.1	3178	
GCA900316895	GCA900316895.1	4705	
GCF000011185	GCF000011185.1	4520	
GCF003205235	GCF003205235.1	3459	
GCF003605575	GCF003605575.1	5188	
GCF900198835	GCF900198835.1	4397	
GCA002506255	GCA002506255.1	5318	
GCA002496725	GCA002496725.1	2553	
GCA002499455	GCA002499455.1	4141	
GCF000723185	GCF000723185.1	4094	
GCA001766815	GCA001766815.1	3156	
GCF003814835	GCF003814835.1	1512	
GCA002498285	GCA002498285.1	5838	
GCF004114995	GCF004114995.1	3011	
GCF003841505	GCF003841505.1	4911	
GCA003144275	GCA003144275.1	4282	
GCF002287215	GCF002287215.1	2397	
GCF000023945	GCF000023945.1	5630	
GCF004745425	GCF004745425.1	5673	
GCA003661525	GCA003661525.1	3625	
GCA002713325	GCA002713325.1	2901	
GCA003229935	GCA003229935.1	2672	
GCA003649145	GCA003649145.1	2597	
GCA002683155	GCA002683155.1	4199	
GCA007123105	GCA007123105.1	4306	
GCF000336715	GCF000336715.1	4102	
GCA002499865	GCA002499865.1	1700	
GCA002010045	GCA002010045.1	5800	
GCA004347925	GCA004347925.1	4907	
GCA002504905	GCA002504905.1	905	
GCA002499005	GCA002499005.1	5615	
GCF002252585	GCF002252585.1	380	
GCF000711215	GCF000711215.1	5262	
GCF003665935	GCF003665935.1	4357	
GCA002719475	GCA002719475.1	5411	
GCA002497765	GCA002497765.1	1703	
GCA002497905	GCA002497905.1	1642	
GCA003555395	GCA003555395.1	3125	
GCA000496175	GCA000496175.1	3847	
GCA013330925	GCA013330925.1	1098	
GCA004524365	GCA004524365.1	4648	
GCA003021335	GCA003021335.1	4834	
GCA003021105	GCA003021105.1	4371	
GCA003942085	GCA003942085.1	5305	
GCA002067155	GCA002067155.1	4233	
GCA002688315	GCA002688315.1	1547	
GCA003602645	GCA003602645.1	4787	
GCF005155585	GCF005155585.1	2219	
GCA002727515	GCA002727515.1	5471	
GCF000376445	GCF000376445.1	1191	
GCF000336675	GCF000336675.1	2827	
GCA003023535	GCA003023535.1	5507	
GCA002497685	GCA002497685.1	2518	
GCA002506645	GCA002506645.1	4425	
GCA002170315	GCA002170315.2	4133	
GCA013329615	GCA013329615.1	3303	
GCF000296615	GCF000296615.1	5739	
GCF000223395	GCF000223395.1	5081	
GCA003599145	GCA003599145.1	5678	
GCF000336695	GCF000336695.1	5250	
GCF004765785	GCF004765785.1	5505	
GCF000513315	GCF000513315.1	2703	
GCA013329295	GCA013329295.1	1349	
GCA003661945	GCA003661945.1	5155	
GCA001940645	GCA001940645.1	3166	
GCA005878955	GCA005878955.1	4607	
GCF000337555	GCF000337555.1	3612	
GCA002067275	GCA002067275.1	4245	
GCA001421185	GCA001421185.1	3694	
GCA003152955	GCA003152955.1	3880	
GCA002495465	GCA002495465.1	4712	
GCA002506595	GCA002506595.1	4118	
GCA013330055	GCA013330055.1	5290	
GCF000221185	GCF000221185.1	4310	
GCF006740685	GCF006740685.1	5792	
GCA002505585	GCA002505585.1	2731	
GCA003557905	GCA003557905.1	1620	
GCA003649085	GCA003649085.1	3334	
GCA003695265	GCA003695265.1	3980	
GCF000172995	GCF000172995.2	1612	
GCA003662715	GCA003662715.1	5299	
GCF005938085	GCF005938085.1	5645	
GCA003649915	GCA003649915.1	3402	
GCA002495025	GCA002495025.1	2795	
GCA013330155	GCA013330155.1	1695	
GCA002067265	GCA002067265.1	3238	
GCA003345595	GCA003345595.1	3976	
GCF002214385	GCF002214385.1	5767	
GCF900111645	GCF900111645.1	1537	
GCA002730095	GCA002730095.1	975	
GCF000336895	GCF000336895.1	3604	
GCA002694525	GCA002694525.1	4836	
GCF000147875	GCF000147875.1	3568	
GCA002698145	GCA002698145.1	652	
GCA013331845	GCA013331845.1	5832	
GCF000685395	GCF000685395.1	3786	
GCA002507125	GCA002507125.1	5287	
GCA002506535	GCA002506535.1	1424	
GCA003663045	GCA003663045.1	4525	
GCA002495235	GCA002495235.1	5151	
GCF000970205	GCF000970205.1	41	
GCA002503135	GCA002503135.1	2759	
GCF001282785	GCF001282785.1	4404	
GCA003170935	GCA003170935.1	2885	
GCF001317345	GCF001317345.1	4618	
GCF000337735	GCF000337735.1	3199	
GCA005888755	GCA005888755.1	4901	
GCA002762985	GCA002762985.1	5351	
GCF000383975	GCF000383975.1	2371	
GCA002718915	GCA002718915.1	4429	
GCA002781805	GCA002781805.1	5108	
GCF003336245	GCF003336245.1	4338	
GCA001316285	GCA001316285.1	4631	
GCA002495185	GCA002495185.1	5402	
GCA013330315	GCA013330315.1	3098	
GCA002719395	GCA002719395.1	767	
GCF000784355	GCF000784355.1	3630	
GCA002687795	GCA002687795.1	3383	
GCA013331555	GCA013331555.1	5178	
GCF900116205	GCF900116205.1	4779	
GCF000591055	GCF000591055.1	3882	
GCA002317795	GCA002317795.1	4740	
GCA004212085	GCA004212085.1	3407	
GCA003650785	GCA003650785.1	3600	
GCA005798405	GCA005798405.1	1294	
GCF001011115	GCF001011115.1	1906	
GCF003149675	GCF003149675.1	2904	
GCA002457155	GCA002457155.1	4785	
GCF000242875	GCF000242875.2	5757	
GCA001602645	GCA001602645.1	797	
GCA002709285	GCA002709285.1	3988	
GCA003650935	GCA003650935.1	3718	
GCA007117145	GCA007117145.1	4738	
GCA003650675	GCA003650675.1	5554	
GCA003663445	GCA003663445.1	4986	
GCA002504495	GCA002504495.1	5285	
GCA002499545	GCA002499545.1	2079	
GCA001516585	GCA001516585.1	4323	
GCA001595945	GCA001595945.1	5027	
GCA003702465	GCA003702465.1	3849	
GCA900177045	GCA900177045.1	4710	
GCA001776015	GCA001776015.1	4842	
GCA000806115	GCA000806115.1	4215	
GCA005879015	GCA005879015.1	4185	
GCA000415985	GCA000415985.1	3758	
GCA002501845	GCA002501845.1	609	
GCF900112175	GCF900112175.1	5020	
GCA000496135	GCA000496135.1	1664	
GCA002502095	GCA002502095.1	926	
GCA002714305	GCA002714305.1	644	
GCA000247545	GCA000247545.1	3495	
GCA003584625	GCA003584625.1	4455	
GCA002713185	GCA002713185.1	3840	
GCA002506585	GCA002506585.1	3374	
GCA002201895	GCA002201895.1	2487	
GCA003560875	GCA003560875.1	2891	
GCA002726865	GCA002726865.1	3253	
GCF900108095	GCF900108095.1	4006	
GCA000018465	GCA000018465.1	4604	
GCA003553085	GCA003553085.1	1965	
GCF001571385	GCF001571385.1	5097	
GCF000019605	GCF000019605.1	2813	
GCA001800745	GCA001800745.1	5009	
GCF000828575	GCF000828575.1	3960	
GCF002214465	GCF002214465.1	3606	
GCA002499185	GCA002499185.1	3229	
GCA001629205	GCA001629205.1	4776	
GCA003034855	GCA003034855.1	4034	
GCF000336755	GCF000336755.1	4600	
GCA005878485	GCA005878485.1	3060	
GCF003862495	GCF003862495.1	4439	
GCF001368915	GCF001368915.1	4825	
GCA002506485	GCA002506485.1	1204	
GCA002497025	GCA002497025.1	1435	
GCA003650865	GCA003650865.1	4342	
GCA002762975	GCA002762975.1	4197	
GCF000021965	GCF000021965.1	4828	
GCF000337615	GCF000337615.1	2115	
GCA002724815	GCA002724815.1	2254	
GCA007135505	GCA007135505.1	3534	
GCF000327485	GCF000327485.1	3696	
GCF900112205	GCF900112205.1	3748	
GCF000812185	GCF000812185.1	2695	
GCA001742785	GCA001742785.1	5103	
GCA002504725	GCA002504725.1	3699	
GCA001768965	GCA001768965.1	3964	
GCA002502965	GCA002502965.1	2743	
GCA002067755	GCA002067755.1	2532	
GCA003021685	GCA003021685.1	4131	
GCA002688325	GCA002688325.1	4509	
GCF000739555	GCF000739555.1	5743	
GCA002496425	GCA002496425.1	5281	
GCF001886955	GCF001886955.1	1969	
GCF000213215	GCF000213215.1	2692	
GCA003978665	GCA003978665.1	3069	
GCA003022685	GCA003022685.1	2248	
GCF000024185	GCF000024185.1	3270	
GCA002501885	GCA002501885.1	570	
GCA001563325	GCA001563325.1	4596	
GCA002762785	GCA002762785.1	5283	
GCA013330875	GCA013330875.1	5076	
GCA000415965	GCA000415965.1	4026	
GCA002688095	GCA002688095.1	4823	
GCA002495065	GCA002495065.1	3064	
GCA002254745	GCA002254745.1	3028	
GCA005881615	GCA005881615.1	3197	
GCF000304355	GCF000304355.2	1078	
GCA005877185	GCA005877185.1	4368	
GCA003023185	GCA003023185.1	5053	
GCA002498605	GCA002498605.1	2981	
GCA002503285	GCA002503285.1	2805	
GCA003649565	GCA003649565.1	3292	
GCF001484195	GCF001484195.1	5114	
GCF000769655	GCF000769655.1	3340	
GCF900107205	GCF900107205.1	1989	
GCA002495905	GCA002495905.1	1475	
GCA002503205	GCA002503205.1	705	
GCA000405685	GCA000405685.1	3139	
GCA001507955	GCA001507955.1	1897	
GCF002114285	GCF002114285.1	255	
GCF000337515	GCF000337515.1	3750	
GCF000063445	GCF000063445.1	3788	
GCA004195435	GCA004195435.1	3733	
GCF000337215	GCF000337215.1	4336	
GCA002508545	GCA002508545.1	4028	
GCF000224475	GCF000224475.1	5675	
GCA013330285	GCA013330285.1	1212	
GCF000025285	GCF000025285.1	5160	
GCA002762795	GCA002762795.1	4929	
GCF000022205	GCF000022205.1	1756	
GCA003164415	GCA003164415.1	5625	
GCA000496215	GCA000496215.1	2233	
GCF000235565	GCF000235565.1	1262	
GCA002688775	GCA002688775.1	3660	
GCA003009795	GCA003009795.1	2964	
GCA005239615	GCA005239615.1	4645	
GCF000739575	GCF000739575.1	5480	
GCF003287355	GCF003287355.1	4065	
GCA002506745	GCA002506745.1	4792	
GCA007050895	GCA007050895.1	5434	
GCA013329055	GCA013329055.1	1387	
GCA003491285	GCA003491285.1	2410	
GCA002497075	GCA002497075.1	3372	
GCA002505405	GCA002505405.1	1902	
GCA001917995	GCA001917995.1	1165	
GCA002499905	GCA002499905.1	2100	
GCA002499345	GCA002499345.1	1284	
GCA013329415	GCA013329415.1	5374	
GCF900108505	GCF900108505.1	3674	
GCA900083515	GCA900083515.1	219	
GCA003663415	GCA003663415.1	2712	
GCF002287235	GCF002287235.1	2350	
GCF000306765	GCF000306765.2	1401	
GCA003345555	GCA003345555.1	3537	
GCA003602475	GCA003602475.1	4602	
GCA002010305	GCA002010305.1	1957	
GCA002502735	GCA002502735.1	4008	
GCA001587675	GCA001587675.1	5761	
GCF900620265	GCF900620265.1	5201	
GCA002502785	GCA002502785.1	2802	
GCF000970265	GCF000970265.1	3913	
GCA900319535	GCA900319535.1	2384	
GCA002499325	GCA002499325.1	2315	
GCA000402075	GCA000402075.1	4351	
GCF900102305	GCF900102305.1	4219	
GCA001587595	GCA001587595.1	1793	
GCA003020965	GCA003020965.1	4581	
GCF003344565	GCF003344565.1	5476	
GCA001593935	GCA001593935.1	3376	
GCA000591035	GCA000591035.1	2832	
GCA005877205	GCA005877205.1	5436	
GCF000993805	GCF000993805.1	4915	
GCF001719125	GCF001719125.1	700	
GCA001564285	GCA001564285.1	4888	
GCA002498065	GCA002498065.1	3962	
GCF000190315	GCF000190315.1	3023	
GCA013331625	GCA013331625.1	2973	
GCA003552585	GCA003552585.1	3771	
GCA002503105	GCA002503105.1	3633	
GCA002509325	GCA002509325.1	5432	
GCA001786395	GCA001786395.1	3261	
GCF000195895	GCF000195895.1	2092	
GCF002487355	GCF002487355.1	1812	
GCA001871495	GCA001871495.1	2736	
GCA002502135	GCA002502135.1	3081	
GCA002503845	GCA002503845.1	1026	
GCA002505945	GCA002505945.1	3353	
GCA004524595	GCA004524595.1	5751	
GCA013331375	GCA013331375.1	3641	
GCA002898355	GCA002898355.1	4038	
GCF000204415	GCF000204415.1	552	
GCF000166095	GCF000166095.1	4266	
GCA002499505	GCA002499505.1	3386	
GCA013330015	GCA013330015.1	1915	
GCA003022845	GCA003022845.1	2678	
GCA013329855	GCA013329855.1	5329	
GCA000389735	GCA000389735.1	2345	
GCA000965745	GCA000965745.1	3298	
GCA002254395	GCA002254395.1	5274	
GCA002009975	GCA002009975.1	4072	
GCA003651105	GCA003651105.1	5637	
GCA003164295	GCA003164295.1	5071	
GCA001515205	GCA001515205.2	3628	
GCA002502625	GCA002502625.1	1878	
GCF900109065	GCF900109065.1	2138	
GCA003663025	GCA003663025.1	3084	
GCA002688335	GCA002688335.1	5731	
GCA002778455	GCA002778455.1	3222	
GCA007117735	GCA007117735.1	3950	
GCF004297185	GCF004297185.1	4846	
GCA002718215	GCA002718215.1	4069	
GCA002789635	GCA002789635.1	689	
GCA003552325	GCA003552325.1	5055	
GCF000299395	GCF000299395.1	5775	
GCA003694965	GCA003694965.1	4923	
GCA001800815	GCA001800815.1	2951	
GCA002506705	GCA002506705.1	3096	
GCF000404225	GCF000404225.1	1484	
GCA013329105	GCA013329105.1	4731	
GCA002897955	GCA002897955.1	5733	
GCA005878395	GCA005878395.1	4449	
GCA002737445	GCA002737445.1	5180	
GCA013329505	GCA013329505.1	4701	
GCA013329085	GCA013329085.1	5737	
GCA002171315	GCA002171315.2	4067	
GCA002497985	GCA002497985.1	4288	
GCF000504205	GCF000504205.1	3690	
GCA000220355	GCA000220355.1	3843	
GCA002714745	GCA002714745.1	862	
GCA001920395	GCA001920395.1	2783	
GCF001307315	GCF001307315.1	5745	
GCA005884195	GCA005884195.1	3001	
GCA003554605	GCA003554605.1	2720	
GCA007118075	GCA007118075.1	3865	
GCF900176435	GCF900176435.1	2912	
GCA003056285	GCA003056285.1	4250	
GCA013329045	GCA013329045.1	1317	
GCA002505645	GCA002505645.1	4752	
GCF000230715	GCF000230715.2	1329	
GCF900107195	GCF900107195.1	4100	
GCA000019805	GCA000019805.1	4255	
GCA002779235	GCA002779235.1	3670	
GCF003111605	GCF003111605.1	4120	
GCF003175215	GCF003175215.1	3053	
GCA007280335	GCA007280335.1	4557	
GCF000337455	GCF000337455.1	4937	
GCA002254545	GCA002254545.1	3927	
GCA002255065	GCA002255065.1	3909	
GCA002503885	GCA002503885.1	966	
GCA000495735	GCA000495735.1	1257	
GCA001564035	GCA001564035.1	5484	
GCF000186365	GCF000186365.1	2629	
GCA003020925	GCA003020925.1	4635	
GCA001564255	GCA001564255.1	2261	
GCA002495055	GCA002495055.1	1733	
GCA003661265	GCA003661265.1	4686	
GCA002011235	GCA002011235.1	4040	
GCA002686195	GCA002686195.1	3190	
GCA004297575	GCA004297575.1	3610	
GCF004681185	GCF004681185.1	4345	
GCA003554115	GCA003554115.1	3404	
GCA002727275	GCA002727275.1	5815	
GCF000337815	GCF000337815.1	3092	
GCA003170075	GCA003170075.1	3814	
GCF000196895	GCF000196895.1	1818	
GCA002707335	GCA002707335.2	4482	
GCA013331215	GCA013331215.1	5496	
GCA002898655	GCA002898655.1	3530	
GCF000320505	GCF000320505.1	1176	
GCA002706065	GCA002706065.1	4116	
GCA001775995	GCA001775995.1	5193	
GCA002855745	GCA002855745.1	2992	
GCA003133625	GCA003133625.1	4650	
GCA003702495	GCA003702495.1	4861	
