accession	accession.version	taxid	gi
GCA900320065	GCA900320065.1	231226	
GCA900002575	GCA900002575.1	191987	
GCF001006565	GCF001006565.1	158910	
GCF002723595	GCF002723595.1	175945	
GCA004213955	GCA004213955.1	210203	
GCA002392945	GCA002392945.1	198243	
GCA003152415	GCA003152415.1	175913	
GCA003216415	GCA003216415.1	211823	
GCF000568815	GCF000568815.1	198701	
GCF000321025	GCF000321025.1	201846	
GCF002250655	GCF002250655.1	211663	
GCA005791685	GCA005791685.1	180061	
GCF003797905	GCF003797905.1	165954	
GCF001953055	GCF001953055.1	224757	
GCF004363835	GCF004363835.1	236566	
GCF000746845	GCF000746845.1	231205	
GCF900176145	GCF900176145.1	153710	
GCF900100435	GCF900100435.1	185666	
GCF002407065	GCF002407065.1	234478	
GCA002839245	GCA002839245.1	209688	
GCA003210275	GCA003210275.1	207501	
GCA002373755	GCA002373755.1	227724	
GCF002075285	GCF002075285.3	217039	
GCF000472905	GCF000472905.1	209367	
GCF000155615	GCF000155615.1	218883	
GCA002280565	GCA002280565.1	227356	
GCF000182745	GCF000182745.2	204060	
GCF002160755	GCF002160755.1	202524	
GCA001314905	GCA001314905.1	218720	
GCF000421005	GCF000421005.1	206056	
GCF003315635	GCF003315635.1	228203	
GCF000429905	GCF000429905.1	181846	
GCA900317555	GCA900317555.1	143498	
GCF001446935	GCF001446935.1	199911	
GCF001429185	GCF001429185.1	186311	
GCA005880575	GCA005880575.1	218013	
GCA002299835	GCA002299835.1	208038	
GCA002705795	GCA002705795.1	190855	
GCF003363755	GCF003363755.1	151544	
GCF900604355	GCF900604355.1	193624	
GCF900475415	GCF900475415.1	160072	
GCA005881825	GCA005881825.1	230257	
GCF001424875	GCF001424875.1	187579	
GCA002501045	GCA002501045.1	192961	
GCA001002285	GCA001002285.1	161204	
GCF001460635	GCF001460635.1	157476	
GCA900557365	GCA900557365.1	219047	
GCA002362915	GCA002362915.1	173265	
GCF002161675	GCF002161675.1	175909	
GCF000741255	GCF000741255.1	176556	
GCA004297465	GCA004297465.1	216690	
GCF004342845	GCF004342845.1	163714	
GCA004193555	GCA004193555.1	236301	
GCF000024325	GCF000024325.1	207683	
GCF002188465	GCF002188465.1	198618	
GCF001043115	GCF001043115.1	206019	
GCF003687485	GCF003687485.1	150753	
GCF003317055	GCF003317055.1	238872	
GCA900321855	GCA900321855.1	198992	
GCA001512905	GCA001512905.1	239406	
GCF000189755	GCF000189755.2	193541	
GCA002435865	GCA002435865.1	237409	
GCF001426545	GCF001426545.1	204691	
