"","species","K00363","K00370","K00371","K00376","K02567","K02568","K03385","K04561","K02305","K02586","K02588","K02591","K00198","K00297","K01491","K01938","GH105","GH106","GH28","GH78","GH88","GH108","GH24","GH11","GH115","GH30","GH120","GH67","GH15","GH31","GH57","GH16","GH19","GH20","GH1","GH116","GH74","GH44","GH45","GH5","GH65","PF01058.22","PF14720.6","PF02256.17","PF02906.14"
"272_92-TBRU23A-Rhinotermitidae-Schedorhinotermes","272_92-TBRU23A-Rhinotermitidae-Schedorhinotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466440640495469,NA,0.514239088897691,0.352223512169242,3.38514568398783,3.4433545421248,0.474065748658101,1.32071465026002,0.111894170298986,1.4502759375513,2.76726044439194,0.822403411982475,0.0426387987141129,0.754414374698205,NA,0.211141635380657,0.682962503141339,NA,0.429164191726928,NA,0.167978891081297,3.16399870932263,0.997799830676407,0.443487491876949,1.7258133301591,0.203376219966002,1.27976015278256,NA,NA,NA,NA,NA,3.43276265829402,0.533857539611577,1.35769896320984,1.94338437420465
"301_70-RDCT112-Rhinotermitidae-Schedorhinotermes_lamanianus","301_70-RDCT112-Rhinotermitidae-Schedorhinotermes_lamanianus",NA,NA,NA,NA,NA,NA,0.083599713032031,NA,NA,NA,0.0374912597923418,NA,0.144768403552807,3.66402583278775,3.65515094090962,0.556031002520316,0.864370114530774,0.161566976555954,1.25503427933764,2.31603849205998,1.36756135889658,0.449915018125761,0.966643326880603,NA,0.131014462076266,NA,NA,0.476448976375771,NA,0.252176436681888,3.57650883980796,0.968171779153064,NA,1.55480297088091,1.46437579471673,1.42639676833242,NA,NA,NA,NA,NA,3.84606271144488,0.871031426111319,1.71153491803326,2.06470199104269
"272_31-Chi15_131-Stylotermitidae-Stylotermes_sp","272_31-Chi15_131-Stylotermitidae-Stylotermes_sp",NA,NA,NA,1.15076735032605,1.01675745390302,1.22396978207253,0.100116534770417,NA,1.40188281384912,2.3590620878301,2.96699120724686,2.39971983789397,NA,2.57642115008562,0.679797435069973,NA,0.771179552466924,NA,0.929329543115552,1.62091997162182,0.479000973084429,NA,NA,NA,0.0849822222234555,NA,NA,0.0705254591990562,NA,1.03953762023277,1.90074974802105,0.242063770265915,NA,NA,1.20388013005737,1.81311290200211,NA,NA,NA,NA,NA,2.39380537817294,NA,1.92616517930788,2.42033997665254
"230_02-AUS109-Kalotermitidae-Kalotermitidae_sp_E","230_02-AUS109-Kalotermitidae-Kalotermitidae_sp_E",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17465733277329,2.72626640691821,1.3062821201336,2.56800172814188,3.21835515036114,1.33450423654951,2.92625262048303,2.74161882734788,NA,1.70547068502352,2.37521340540603,1.73561964948849,2.22389628010955,0.243308979611471,NA,NA,0.916503224219944,NA,3.04629605990122,NA,2.52742094337121,3.83124169331466,2.44118386756112,NA,2.19462078413837,2.42527170495156,NA,NA,NA,NA,NA,NA,2.32143708923413,NA,3.71868719627616,4.05017067589881
"230_24-THAI31-Kalotermitidae-Glyptotermes_sp_3","230_24-THAI31-Kalotermitidae-Glyptotermes_sp_3",NA,NA,NA,NA,NA,NA,0.396479571839883,NA,NA,2.20481764887031,3.46104660834803,3.28855259542617,1.84165253827298,3.49907381903602,3.18892542343934,1.69700027891428,1.28118352462968,2.28904682684255,1.55117411140377,2.61720191941572,0.941351732366034,1.13805537488696,1.20519054245175,NA,NA,0.0707569406614319,1.07569060320434,0.771798553577019,NA,2.46071226763814,1.11547761085255,2.8340895990979,NA,1.98560897136211,2.02316473960173,1.43707202785012,NA,NA,NA,1.29316057262614,1.15665300163638,2.78395871918576,0.453657451751497,2.97861443944709,3.44825778149416
"272_97-THAI114-Kalotermitidae-Glyptotermes_sp_1","272_97-THAI114-Kalotermitidae-Glyptotermes_sp_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36265699827821,3.37702571987908,2.18689563653166,1.93390697125112,2.47751176465642,NA,2.2339029480035,2.36583906048648,2.54395425093706,NA,2.12264107448835,NA,1.60175990916121,NA,NA,NA,NA,1.40721301746012,NA,NA,2.54536993524106,3.0450896412985,3.0721930427188,5.18911749859775,3.87695085411288,1.42929225401501,NA,NA,NA,NA,NA,NA,2.91649925106694,NA,2.74041151505692,3.22668231513349
"301_55-H2-Kalotermitidae-Glyptotermes_Okinawa_h2","301_55-H2-Kalotermitidae-Glyptotermes_Okinawa_h2",NA,NA,NA,NA,0.415572270436201,NA,NA,NA,NA,3.033569616932,3.57319548106953,2.78708498881486,2.55793610835061,3.37649220642583,1.96974380213473,2.01129623713071,2.20429529958036,2.67053701346481,2.32711692410673,3.16920394017876,1.81800804360319,1.67554697985168,0.518846862066558,NA,0.679761976742282,0.771455180974299,0.431694119045336,1.50269939657146,NA,2.6634169899264,3.20744171867438,2.66369799816068,3.45096735601171,2.74590208676811,2.88396264734294,1.84388981655988,0.0677384266717231,NA,NA,NA,0.803056230834843,2.54770111259962,NA,3.23445136265781,3.93776400209491
"272_96-THAI112-Kalotermitidae-Glyptotermes","272_96-THAI112-Kalotermitidae-Glyptotermes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59611099646018,NA,1.1583078078236,2.75059951469136,1.57272623352842,1.19375538672297,2.38093320030841,1.91835448970719,2.14959257530005,2.70367851682356,2.1612651210732,1.06836195305904,0.247985294431001,NA,1.0244581067523,1.26387243119839,0.62945016364175,NA,NA,2.23640461862593,1.72266480548942,2.07733196108473,NA,1.90624233242429,0.594878456909079,0.865827262341383,NA,NA,NA,NA,0.962511060534227,1.59781272607641,0.540435801750809,2.23318797980938,2.7491482320754
"230_18-SING74-Kalotermitidae-Neotermes","230_18-SING74-Kalotermitidae-Neotermes",NA,NA,NA,NA,1.3269814712163,NA,1.93058588894892,NA,NA,3.10704454039877,3.70404221544962,2.66857354017018,NA,3.46602758802988,1.80764908658761,2.46901473782314,2.54782016140163,2.8059890835304,2.49053975305892,3.14950467348855,3.23950060905776,NA,NA,0.228768823585093,1.77293651327378,0.301521901111571,NA,0.753913298399034,NA,1.8224040899959,2.99365932764482,2.92534254330908,NA,0.0587626826722232,2.55750408204896,1.56078653130915,NA,0.997631561266524,NA,NA,NA,3.59796044625173,1.96191452289994,2.42970096062042,2.08210579367073
"301_10-AUS102-Kalotermitidae-Kalotermitidae_sp_H","301_10-AUS102-Kalotermitidae-Kalotermitidae_sp_H",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92740461604077,3.32733481051165,2.7245800737484,0.0998075519385733,3.34733164753274,1.8359758062677,1.42452366634193,2.41272195141722,3.23444190086268,2.42388826762059,2.94534292676485,2.64778278677668,NA,NA,NA,2.47462628426701,1.80860987737014,NA,1.76893373945683,NA,2.58770249393913,3.09527252136129,3.29017579590587,0.990446550292759,2.06568191793135,3.17547859060789,NA,NA,NA,0.447694840412933,NA,2.05553315089621,2.00183096134631,NA,2.96342983568489,3.75107116708904
